"Mayo Test ID","Test Name","CPT Code"
"ZMMLS","Antimicrobial Susceptibility, Aerobic Bacteria, Varies","87077-Ident by MALDI-TOF mass spec (if appropriate)
  87185-Beta lactamase (if appropriate)
  87186-Antimicrobial Susceptibility, Aerobic Bacteria, MIC-per organism for routine battery (if appropriate)
  87181-Susceptibility per drug and per organism for drugs not in routine battery (if appropriate)
  87150-H pylori + Clarithro Resistance PCR (if appropriate)
  87150-mecA PCR (if appropriate)"
"MNU","Manganese, 24 Hour, Urine","83785"
"STL","Enteric Pathogens Culture, Feces","87045-Enteric Pathogens Culture, Stool-with isolation and preliminary examination
  87046 x 3-Stool Culture Aerobic Bacteria, each
  87077-Ident by MALDI-TOF mass spec (if appropriate)
  87077-Bacteria Identification (if appropriate)
  87153-Aerobe Ident by Sequencing (if appropriate)
  87077-Additional Identification Procedure (if appropriate)
  87147 x 3-Serologic Agglut Method 1 Ident (if appropriate)
  87147 x 4-Serologic Agglut Method 3 Ident (if appropriate)
  87150 Carbapenem resistance genes (if appropriate)"
"GBM","Glomerular Basement Membrane Antibodies, IgG, Serum","83516"
"BRUTA","Brucella Total Antibody Confirmation, Agglutination, Serum","86622"
"ANIDE","Organism Referred for Identification, Anaerobic Bacteria","87076-Organism ref for ID, anaerobic bact
  87076-Id MALDI-TOF mass spec anaerobe (if appropriate)
  87076-Anaerobe Ident (if appropriate)
  87153-Anaerobe ident by sequencing (if appropriate)
  87077-Identification commercial kit (if appropriate)
  87077-Ident by MALDI-TOF mass spec (if appropriate)
  87077-Bacteria identification (if appropriate)
  87077-Additional identification procedure (if appropriate)
  87077-Identification Staphylococcus (if appropriate)
  87077-Identification Streptococcus (if appropriate)
  87147 x 3-Serologic agglut method 1 ident (if appropriate)
  87147-Serologic agglut method 2 ident (if appropriate)
  87147 x 4-Serologic agglut method 3 ident (if appropriate)
  87147 x 2-6-Serologic Agglut Method 4 Ident (if appropriate)
  87153-Aerobe ident by sequencing (if appropriate)
  87798-Identification by PCR (if appropriate)"
"SLEG","Legionella pneumophila (Legionnaires Disease), Antibody, Serum","86713"
"PGSN","Progesterone, Serum","84144"
"TLB","Thallium, Blood","83018"
"VIP","Vasoactive Intestinal Polypeptide, Plasma","84586"
"IMMG","Immunoglobulins (IgG, IgA, and IgM), Serum","82784 x 3"
"IGA","Immunoglobulin A (IgA), Serum","82784"
"IGE","Immunoglobulin E (IgE), Serum","82785"
"AAT","Alpha-1-Antitrypsin, Serum","82103"
"AFP","Alpha-Fetoprotein (AFP) Tumor Marker, Serum","82105"
"COM","Complement, Total, Serum","86162"
"C4","Complement C4, Serum","86160"
"C3","Complement C3, Serum","86160"
"AMA","Mitochondrial Antibodies (M2), Serum","86381"
"C1ES","C1 Esterase Inhibitor Antigen, Serum","83883"
"LEGI","Legionella Culture, Varies","87081-Legionella culture
  87077-Ident by MALDI-TOF mass spec (if appropriate)
  87153-Aerobe ident by sequencing (if appropriate)
  87176-Tissue processing (if appropriate)"
"CTB","Mycobacteria and Nocardia Culture, Varies","87116-Mycobacterial Culture
  87015-Mycobacteria Culture, Concentration (if appropriate)
  87118-Id MALDI-TOF Mass Spec AFB (if appropriate)
  87150-Id, Mtb Speciation, PCR (if appropriate)
  87153-Mycobacteria Identification by Sequencing (if appropriate)
  87176-Tissue Processing (if appropriate)
  87150- Id, MTB complex Rapid PCR (if appropriate)"
"SAFB","Acid-Fast Smear for Mycobacterium, Varies","87206
    87176-Tissue processing (if appropriate)
    87015-Mycobacteria culture, concentration (if appropriate)"
"ACT","Actinomyces Culture, Varies","87075-Actinomyces culture
    62258-Id MALDI-TOF Mass Spec Anaerobe (if appropriate)
    87153-Anaerobe identification by sequencing (if appropriate)
    87176-Tissue processing (if appropriate)"
"FUNID","Culture Referred for Identification, Fungus","87107-Culture, fungi, definitive identification
  87106-Culture, fungi, definitive identification, each organism; yeast (if appropriate)
  87106-Id MALDI-TOF Mass Spec Yeast (if appropriate)
  87107-Id MALDI-TOF Mass Spec Fungi (if appropriate)
  87107-Culture, fungi, definitive identification, each organism; mold (if appropriate)
  87107-Fungal identification Panel A (if appropriate)
  87107-Fungal identification Panel B (if appropriate)
  87153-D2 fungal sequencing Identification (if appropriate)
  87153-ITS Fungal Sequencing (if appropriate)"
"SBL","Blastomyces Antibody Immunodiffusion, Serum","86612"
"SFZ","Sulfamethoxazole, Serum","80299"
"PENTS","Pentobarbital, Serum","80299"
"SECOS","Secobarbital, Serum","80299"
"HBAB","Hepatitis B Virus Surface Antibody, Qualitative/Quantitative, Serum","86706"
"AMPHU","Amphetamines Confirmation, Random, Urine","G0480
  80325 (if appropriate for select payers(
  80359 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"HPFH","Hemoglobin F Distribution, Blood","88184"
"CASF","IgG/Albumin Ratio, Spinal Fluid","82042
  82784"
"SCOC","Coccidioides Antibody, Complement Fixation and Immunodiffusion, Serum","86635 x 3"
"HEAG","Hepatitis B Virus e Antigen and Hepatitis B Virus e Antibody, Serum","86707
  87350"
"CHOL","Cholesterol, Total, Serum","82465"
"AMOBS","Amobarbital, Serum","80299"
"LPS","Lipase, Serum","83690"
"GALT","Galactose-1-Phosphate Uridyltransferase, Blood","82775"
"CK","Creatine Kinase (CK), Serum","82550"
"ARBI","Acetylcholine Receptor (Muscle AChR) Binding Antibody, Serum","86041"
"ALP","Alkaline Phosphatase, Serum","84075"
"LD","Lactate Dehydrogenase (LDH), Serum","83615"
"HBC","Hepatitis B Virus Core Total Antibodies, Serum","86704"
"FET","Iron, Liver Tissue","83540"
"AMS","Amylase, Total, Serum","82150"
"AST","Aspartate Aminotransferase (AST) (GOT), Serum","84450"
"ALT","Alanine Aminotransferase (ALT) (GPT), Serum","84460"
"AL","Aluminum, Serum","82108"
"CYSQN","Cystinuria Profile, Quantitative, 24 Hour, Urine","82136"
"CAI","Calcium, Ionized, Serum","82330"
"PKU","Phenylalanine and Tyrosine, Plasma","84030 Phenylalanine
  84510 Tyrosine
  82542 (if appropriate for government payers)"
"LID","Lidocaine, Serum","80176"
"PHOS","Phosphorus (Inorganic), Serum","84100"
"ACTH","Adrenocorticotropic Hormone, Plasma","82024"
"MNS","Manganese, Serum","83785"
"DSS","Drug Screen, Prescription/Over the Counter, Serum","80307"
"BUTAS","Butalbital, Serum","80299"
"HDCH","Cholesterol, High-Density Lipoprotein (HDL), Serum","83718"
"ALB","Albumin, Serum","82040"
"URIC","Uric Acid, Serum","84550"
"MGS","Magnesium, Serum","83735"
"BILI3","Bilirubin, Serum","82247-Bilirubin, total
    82248-Bilirubin, direct"
"CL","Chloride, Serum","82435"
"OPATU","Opiates Confirmation, Random, Urine","G0480
  80361 (if appropriate for select payers)
  80365 (if appropriate for select payers)
  80362 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"BGA","Beta-Galactosidase, Leukocytes","82657"
"PBHA","Lead, Hair","83655"
"HGHAR","Mercury, Hair","83825"
"TGRP","Testosterone, Total and Free, Serum","84402
  84403"
"GAST","Gastrin, Serum","82941"
"TP","Protein, Total, Serum","84155"
"CEA","Carcinoembryonic Antigen (CEA), Serum","82378"
"CATP","Catecholamine Fractionation, Free, Plasma","82384"
"TTST","Testosterone, Total, Mass Spectrometry, Serum","84403"
"CORT","Cortisol, Serum","82533"
"CORTU","Cortisol, Free, 24 Hour, Urine","82530"
"ALDU","Aldosterone, 24 Hour, Urine","82088"
"ALDS","Aldosterone, Serum","82088"
"PQNU","Porphyrins, Quantitative, 24 Hour, Urine","84110-Porphobilinogen, quantitative
  84120-Porphyrins, quantitation and fractionation"
"ESTS","Estradiol, Rapid, Immunoassay, Serum","82670"
"CUU","Copper, 24 Hour, Urine","82525"
"ZNU","Zinc, 24 Hour, Urine","84630"
"HGU","Mercury, 24 Hour, Urine","83825"
"CRU","Chromium, 24 Hour, Urine","82495"
"UPGD","Uroporphyrinogen Decarboxylase, Whole Blood","82657"
"PBU","Lead, 24 Hour, Urine","83655"
"TLU","Thallium, 24 Hour, Urine","83018"
"CDP","Chlordiazepoxide and Metabolites, Serum","80299"
"T3","T3 (Triiodothyronine), Total, Serum","84480"
"HG","Mercury, Blood","83825"
"NIS","Nickel, Serum","83885"
"NIU","Nickel, 24 Hour, Urine","83885"
"GALK","Galactokinase, Blood","82759"
"DIA","Diazepam and Metabolites, Serum","80299"
"VLTS","Volatile Screen, Serum","G0480
  80320 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"TSI","Thyroid-Stimulating Immunoglobulin, Serum","84445"
"CRS","Chromium, Serum","82495"
"FL","Fluoride, Plasma","82735"
"ASB","Arsenic, Blood","82175"
"ASHA","Arsenic, Hair","82175"
"PYR","Pyruvic Acid, Blood","84210"
"THEO","Theophylline, Serum","80198"
"INS","Insulin, Serum","83525"
"DIG","Digoxin, Serum","80162"
"GGT","Gamma-Glutamyltransferase (GGT), Serum","82977"
"CDU","Cadmium, 24 Hour, Urine","82300"
"CDB","Cadmium, Blood","82300"
"PA","Procainamide and N-Acetylprocainamide, Serum","80192"
"CUT","Copper, Liver Tissue","82525"
"HGH","Growth Hormone, Serum","83003"
"T4","T4 (Thyroxine), Total Only, Serum","84436"
"FRT4","T4 (Thyroxine), Free, Serum","84439"
"PTP","Porphyrins, Total, Plasma","84311-Porphyrins, total
  82542-Porphyrins, fractionation (if appropriate)"
"PPFE","Protoporphyrins, Fractionation, Whole Blood","82542"
"ETGL","Ethylene Glycol, Serum","G0480
  80320 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"CAFF","Caffeine, Serum","80155"
"ETX","Ethosuximide, Serum","80168"
"NAGS","Hexosaminidase A and Total Hexosaminidase, Serum","83080 x 2"
"NAGW","Hexosaminidase A and Total Hexosaminidase, Leukocytes","83080 x 2"
"ARSU","Arylsulfatase A, 24 Hour, Urine","84311"
"ARSAW","Arylsulfatase A, Leukocytes","82657"
"AGAS","Alpha-Galactosidase, Serum","82657"
"CARN","Carnitine, Plasma","82379"
"CPR","C-Peptide, Serum","84681"
"FUCW","Alpha-Fucosidase, Leukocytes","82657"
"DHVD","1,25-Dihydroxyvitamin D, Serum","82652"
"VLTU","Volatile Screen, Random, Urine","G0480
  80320 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"ALU","Aluminum, 24 Hour, Urine","82108"
"C1Q","Complement C1q, Serum","86160"
"FRT4D","T4 (Thyroxine), Free, Dialysis, Serum","84439"
"PNP","Platelet Neutralization Procedure, Plasma","85597"
"DLAU","D-Lactate, Urine","83605"
"AFPSF","Alpha-Fetoprotein (AFP), Spinal Fluid","86316"
"BHSF","Beta-Human Chorionic Gonadotropin, Quantitative, Spinal Fluid","84702"
"DLAC","D-Lactate, Plasma","83605"
"ROTA","Rotavirus Antigen, Feces","87425"
"THCU","Delta-8 and Delta-9-Carboxy-Tetrahydrocannabinol (THC) Confirmation, Random, Urine","G0480
  80349 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"OROT","Orotic Acid, Random, Urine","83921"
"ZW10","Miscellaneous Chemistry Testing, Varies",""
"STSH","Thyroid-Stimulating Hormone-Sensitive (s-TSH), Serum","84443"
"APGH","Alpha-Subunit Pituitary Tumor Marker, Serum","82397"
"PALB","Prealbumin, Serum","84134"
"HBAG","Hepatitis B Virus Surface Antigen, Serum","87340
  87341 (if appropriate)"
"HBIM","Hepatitis B Virus Core IgM Antibody, Serum","86705"
"CHSBP","Chronic Hepatitis B Monitoring Profile, Serum","86707
  87340
  87350
  87341 (if appropriate)"
"ANA2","Antinuclear Antibodies (ANA), Serum","86038"
"VDSF","VDRL, Spinal Fluid","86592"
"ATTI","Antithrombin Antigen, Plasma","85301"
"VWAG","von Willebrand Factor Antigen, Plasma","85246"
"FACTV","Coagulation Factor V Activity Assay, Plasma","85220"
"F_7","Coagulation Factor VII Activity Assay, Plasma","85230"
"FRAG","Osmotic Fragility, Erythrocytes","85557"
"F_9","Coagulation Factor IX Activity Assay, Plasma","85250"
"F_10","Coagulation Factor X Activity Assay, Plasma","85260"
"F_11","Coagulation Factor XI Activity Assay, Plasma","85270"
"FXIII","Factor XIII (13), Screen, Plasma","85291"
"F_12","Coagulation Factor XII Activity Assay, Plasma","85280"
"F8A","Coagulation Factor VIII Activity Assay, Plasma","85240"
"PSGN","Plasminogen Activity, Plasma","85420"
"MONOS","Infectious Mononucleosis, Rapid Test, Serum","86308"
"UNHB","Hemoglobin Stability, Blood","83068"
"PLHBB","Plasma Free Hemoglobin, Plasma","83051"
"CBC","Complete Blood Cell Count (CBC) with Differential, Blood","85025
  85007 (if appropriate)
    85060 (if appropriate)"
"F_2","Coagulation Factor II Activity Assay, Plasma","85210"
"PCAG","Protein C Antigen, Plasma","85302"
"LYME","Lyme Disease Serology, Serum","86618
  86617 x 2-Lyme disease confirmation (if appropriate)"
"B12","Vitamin B12 Assay, Serum","82607"
"FB12","Vitamin B12 and Folate, Serum","82607-Vitamin B12
  82746-Folate"
"CATN","Calcitonin, Serum","82308"
"HAPT","Haptoglobin, Serum","83010"
"SDEX","Sickle Solubility, Blood","85660"
"SPSM","Morphology Evaluation (Special Smear), Blood","85007
  85060-(if appropriate)
  85027-(if appropriate)
  88184-(If appropriate)
  88185-(If appropriate)
  88187-(if appropriate)
  88188-(if appropriate)
  88189-(if appropriate)"
"FOL","Folate, Serum","82746"
"PARID","Parasite Identification, Varies","87168-Arthropod (if appropriate)
    87169-Parasite (if appropriate)"
"PINW","Pinworm Exam, Perianal","87172"
"POSV","Post Vasectomy Check, Semen","89321"
"AHDV","Hepatitis D Virus (HDV) Total Antibodies with Reflex to HDV RNA Detection and Quantitation, PCR, Serum","86692
  87523 if needed"
"IDENT","Organism Referred for Identification, Aerobic Bacteria","87077-Organism Referred for Identification, Aerobic Bacteria
  87077-Identification Commercial Kit (if appropriate)
  87077-Ident by MALDI-TOF mass spec (if appropriate)
  87077-Bacteria Identification (if appropriate)
  87153-Aerobe Ident by Sequencing (if appropriate)
  87077-Additional Identification Procedure (if appropriate)
  87147 x 3-Serologic Agglut Method 1 Ident (if appropriate)
  87147-Serologic Agglut Method 2 Ident (if appropriate)
  87147 x 4-Serologic Agglut Method 3 Ident (if appropriate)
  87147 x 2-6 - Serologic Agglut Method 4 Ident (if appropriate)
  87077-Identification Staphylococcus (if appropriate)
  87077-Identification Streptococcus (if appropriate)
  87798-Identification by PCR (if appropriate)"
"OHPG","17-Hydroxyprogesterone, Serum","83498"
"FIL","Filaria, Blood","87015
  87210"
"B2M","Beta-2-Microglobulin, Serum","82232"
"MAL","Rapid Malaria/Babesia Smear, Varies","87207"
"FLEC","Flecainide, Serum","80181"
"MEX","Mexiletine, Serum","80299"
"AMIO","Amiodarone, Serum","80151"
"HIAA","5-Hydroxyindoleacetic Acid, 24 Hour, Urine","83497"
"BHYD","Beta-Hydroxybutyrate, Serum","82010"
"HVA","Homovanillic Acid, 24 Hour, Urine","83150"
"VH","Vanillylmandelic Acid and Homovanillic Acid, Random, Urine","83150-HVA
  84585-VMA"
"CHOU","Carbohydrate, Urine","84379"
"IGGS","IgG Subclasses, Serum","82784
  82787 x 4"
"TBGI","Thyroxine-Binding Globulin (TBG), Serum","84442"
"AAQP","Amino Acids, Quantitative, Plasma","82139"
"C5AG","C5 Complement, Antigen, Serum","86160"
"A2M","Alpha-2-Macroglobulin, Serum","83883"
"IGD","Immunoglobulin D (IgD), Serum","82784"
"CATU","Catecholamine Fractionation, Free, 24 Hour, Urine","82384"
"CMA","Centromere Antibodies, IgG, Serum","83516"
"PSA","Prostate-Specific Antigen (PSA) Diagnostic, Serum","84153"
"COKEU","Cocaine and Metabolite Confirmation, Random, Urine","G0480
  80353 (if appropriate for select payers)
  Clinical Toxicology CPT Code Client Guidance"
"ACHE_","Acetylcholinesterase, Amniotic Fluid","82013"
"CA19","Carbohydrate Antigen 19-9 (CA 19-9), Serum","86301"
"CA25","Cancer Antigen 125 (CA 125), Serum","86304"
"PBLI","Plasma Cell Assessment, Blood","88184-Flow cytometry, cell surface, cytoplasmic
  88185 x 5-Each additional marker
  88187-Flow cytometry, interpretation; 2 to 8 markers"
"TBBS","Quantitative Lymphocyte Subsets: T, B, and Natural Killer (NK) Cells, Blood","86355
    86357
    86359
    86360"
"GLP","Glucagon, Plasma","82943"
"EMA","Endomysial Antibodies, IgA, Serum","86231
  86231-titer (if appropriate)"
"CINP","Cortisol, Mass Spectrometry, Serum","82533"
"RT3","T3 (Triiodothyronine), Reverse, Serum","84482"
"ANCA","Cytoplasmic Neutrophil Antibodies, Serum","86036 x2
  86037-Titer (if appropriate)"
"VMA","Vanillylmandelic Acid, 24 Hour, Urine","84585"
"LYWB","Lyme Disease Antibody, Immunoblot, Serum","86617 x 2"
"HTLVI","Human T-Cell Lymphotropic Virus Types I and II Antibody Screen with Confirmation, Serum","86790
  86689 (if appropriate)"
"UIOD","Iodine, 24 Hour, Urine","83789"
"LY27B","HLA-B27, Blood","86812"
"SASP","Aspergillus fumigatus, IgG Antibodies, Serum","86001"
"ANST","Androstenedione, Serum","82157"
"BOAC","Boron, Serum/Plasma","83018"
"CRP","C-Reactive Protein (CRP), Serum","86140"
"HIPA","Hippuric Acid, Urine","82570 
  83921
  81002 (if appropriate)"
"SES","Selenium, Serum","84255"
"PCPUG","Phencyclidine (PCP), Confirmation, serum","83992"
"PNZN","Perphenazine, Serum or Plasma","80299"
"PROTR","Protriptyline (Vivactyl)","80335"
"AFPA","Alpha-Fetoprotein, Amniotic Fluid","82106
  82013 (if appropriate)"
"ALDNA","Aldosterone with Sodium, 24 Hour, Urine","82088-Aldosterone
  84300-Sodium"
"LLPT","Leukemia/Lymphoma Immunophenotyping, Flow Cytometry, Tissue","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker x 1
  88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each)
  88187-Flow Cytometry Interpretation, 2 to 8 Markers (if appropriate)
  88188-Flow Cytometry Interpretation, 9 to 15 Markers (if appropriate)
  88189-Flow Cytometry Interpretation, 16 or More Markers (if appropriate)"
"FLT","FLT3 Mutation Analysis, Varies","81245-FLT3 (fms-related tyrosine kinase) (eg, acute myeloid leukemia), gene analysis, internal tandem duplication (ITD) variants (ie, exons 14, 15)
    81246-FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia), gene analysis; tyrosine kinase domain (TKD) variants (eg, D835, I836)"
"SCT2","Miscellaneous Biochemical Genetics Testing",""
"CRMWC","Collapsin Response-Mediator Protein-5-IgG, Western Blot, Spinal Fluid","84182"
"A1APP","Alpha-1-Antitrypsin Phenotype, Serum","82103
  82104"
"CD4NY","CD4 Count for Monitoring, New York, Blood","86359-T cells, total count
  86360-Absolute CD4/CD8 count with ratio"
"MOBRD","Mail Out Research, Blood",""
"PTH2","Parathyroid Hormone, Serum","83970"
"ADULT","Adulterants Survey, Random, Urine","&amp;nbsp;"
"FMBNY","Fetomaternal Bleed, New York, Blood","88184-Flow cytometry; cell surface cytoplasmic"
"HMNA","Heavy Metals, Nails","82175
  83655
  83825"
"TCGBM","T-Cell Receptor Gene Rearrangement, PCR, Bone Marrow","81340-TCB (T cell antigen receptor, beta) (eg, leukemia and lymphoma), gene rearrangement analysis to detect abnormal clonal population(s); using amplification methodology (eg, PCR)
  81342-TCG (T cell receptor, gamma) (eg, leukemia and lymphoma), gene rearrangement analysis, evaluation to detect abnormal clonal population(s)"
"TCGRV","T-Cell Receptor Gene Rearrangement, PCR, Varies","81340-TCB (T cell antigen receptor, beta) (eg, leukemia and lymphoma), gene rearrangement analysis to detect abnormal clonal population(s), using amplification methodology (eg, PCR)
  81342-TCG (T cell receptor, gamma) (eg, leukemia and lymphoma), gene rearrangement analysis, evaluation to detect abnormal clonal population(s)"
"BCGBM","Immunoglobulin Gene Rearrangement, PCR, Bone Marrow","81261-IGH (Immunoglobulin heavy chain locus) (eg, leukemias and lymphomas B-cell), gene rearrangement analysis to detect abnormal clonal populations; amplified methodology (eg. polymerase chain reaction)
  81264-IGK (Immunoglobulin kappa light chain locus) (eg, leukemia and lymphoma, B-cell) gene rearrangement analysis, evaluation to detect abnormal clonal populations"
"BCGRV","Immunoglobulin Gene Rearrangement, PCR, Varies","81261-IGH (Immunoglobulin heavy chain locus) (eg, leukemias and lymphomas B-cell), gene rearrangement analysis to detect abnormal clonal populations; amplified methodology (eg. polymerase chain reaction)
  81264-IGK (Immunoglobulin kappa light chain locus) (eg, leukemia and lymphoma, B-cell) gene rearrangement analysis, evaluation to detect abnormal clonal populations"
"JAK2M","JAK2 V617F Mutation Detection, Bone Marrow","81270-JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, p.Val617Phe (V617F) variant"
"JAK2V","JAK2 V617F Mutation Detection, Varies","81270-JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, p.Val617Phe (V617F) variant"
"INSEC","Stinging Insects Allergen Profile, Serum","86003 x 5"
"SEAS","Seasonal Inhalants Allergen Profile, Serum","86003 x 10"
"NEREG","Northeast Regional Allergen Profile, Serum","86003 x 10"
"DAGR","Dairy and Grain Allergen Profile, Serum","86003 x 5"
"NSIP","Non-Seasonal Inhalant Allergen Profile, Serum","86003 x 10"
"SEAFP","Seafood Allergen Profile, Serum","86003 x 5"
"NUTSP","Nuts Allergen Profile, Serum","86003 x 5"
"PPFWE","Protoporphyrins, Fractionation, Washed Erythrocytes","82542"
"UPGDW","Uroporphyrinogen Decarboxylase, Washed Erythrocytes","82657"
"PEWE","Porphyrins Evaluation, Washed Erythrocytes","84311-Spectrophotometry, analyte not elsewhere specified
  82542-Chromatography (if appropriate)"
"PBGDW","Porphobilinogen Deaminase, Washed Erythrocytes","82657"
"ALADW","Aminolevulinic Acid Dehydratase, Washed Erythrocytes","82657"
"MMAP","Methylmalonic Acid, Quantitative, Plasma","83921"
"C2FXN","C2 Complement, Functional, Serum","86161"
"TRYPA","Tryptase, Autopsy, Serum","83520"
"CATPA","Catecholamine, Endocrine Study, Plasma","82384 x 2"
"CTP0","Catecholamine Fractionation, Supine, Plasma, Free","82384"
"CTP10","Catecholamine Fractionation, Standing, Plasma, Free","82384"
"LLTOF","Leukemia and Lymphoma Phenotyping, Technical Only, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each)
  Additional CPTs may be added if consultative help is needed with the case, or algorithm dictates Mayo consultant involvement.
  88187-Flow cytometry interpretation, 2 to 8 markers (if appropriate)
  88188-Flow cytometry interpretation, 9 to 15 markers (if appropriate)
  88189-Flow cytometry interpretation, 16 or more markers (if appropriate)"
"TBPZA","Susceptibility, Mycobacterium tuberculosis Complex, Pyrazinamide, Varies","87188-Susceptibility, Mycobacterium tuberculosis Complex, Pyrazinamide
  87153-Mtb PZA Confirmation, pncA Sequencing (if appropriate)"
"TB2LN","Susceptibility, Mycobacterium tuberculosis Complex, Second Line, Varies","87186-Susceptibility, Mtb Cx, 2nd Line"
"CGAK","Chromogranin A, Serum","86316"
"MCRPL","Macroprolactin, Serum","84146 x 2"
"MMLSG","Antimicrobial Susceptibility, Acid-Fast Bacilli, Slowly Growing, Varies","87186"
"HLLFH","Hematologic Disorders, Leukemia/Lymphoma; Flow Hold, Varies","88184-Flow cytometry; first cell surface, cytoplasmic or nuclear marker
  88185-Flow cytometry; additional cell surface, cytoplasmic or nuclear marker (each)
  88187-Flow Cytometry Interpretation, 2 to 8 Markers (if appropriate)
  88188-Flow Cytometry Interpretation, 9 to 15 Markers (if appropriate)
  88189-Flow Cytometry Interpretation, 16 or More Markers (if appropriate)"
"PLPMA","Prolactin, Pituitary Macroadenoma, Serum","84146"
"EFPO","Electrolyte and Osmolality Panel, Feces","82438-Chloride
  83735-Magnesium
  84302-Sodium
  84100-Phosphorus
  84999 x 2-Osmolality, Potassium"
"NH3V","Ammonia, Plasma","82140"
"CYSPR","Cyclosporine, Blood","80158"
"SIIRO","Sirolimus, Whole Blood","80195"
"TAKRO","Tacrolimus, Blood","80197"
"EVROL","Everolimus, Blood","80169"
"STFRP","Shiga Toxin, Molecular Detection, PCR, Feces","87798"
"MSTC1","Strict Criteria Sperm Morphology for Infertility Diagnosis and Treatment, Semen","89398"
"CHRAF","Chromosome Analysis, Amniotic Fluid","88235, 88291-Tissue culture for amniotic fluid or chorionic villus cells, Interpretation and report
  88269 w/modifier 52-Chromosome analysis, in situ for amniotic fluid cells,"
"CULAF","Culture for Genetic Testing, Amniotic Fluid","88235
  88240"
"CHRBM","Chromosome Analysis, Hematologic Disorders, Bone Marrow","88237, 88291-Tissue culture for neoplastic disorders; bone marrow, blood, Interpretation and report
  88264 w/ modifier 52-Chromosome analysis with less than 20 cells (if appropriate)
  88264-Chromosome analysis with 20 to 25 cells (if appropriate)
  88264, 88285-Chromosome analysis with greater than 25 cells (if appropriate)
  88283-Additional specialized banding technique (if appropriate)"
