concept_id,concept_name,domain_id,concept_class_id,ATC
21600037,"prednisolone, combinations; local oral",Drug,ATC 5th,A01AC54
21600038,Other agents for local oral treatment,Drug,ATC 4th,A01AD
21600039,epinephrine; local oral,Drug,ATC 5th,A01AD01
21600040,benzydamine; local oral,Drug,ATC 5th,A01AD02
21600041,acetylsalicylic acid; local oral,Drug,ATC 5th,A01AD05
21600042,adrenalone; local oral,Drug,ATC 5th,A01AD06
21600043,amlexanox; local oral,Drug,ATC 5th,A01AD07
21600044,becaplermin; local oral,Drug,ATC 5th,A01AD08
21600046,DRUGS FOR ACID RELATED DISORDERS,Drug,ATC 2nd,A02
21600047,ANTACIDS,Drug,ATC 3rd,A02A
21600048,Magnesium compounds,Drug,ATC 4th,A02AA
21600051,magnesium peroxide,Drug,ATC 5th,A02AA03
21600055,Aluminium compounds,Drug,ATC 4th,A02AB
21600057,algeldrate; oral,Drug,ATC 5th,A02AB02
21600059,dihydroxialumini sodium carbonate; oral,Drug,ATC 5th,A02AB04
21600060,aluminium acetoacetate,Drug,ATC 5th,A02AB05
21600061,aloglutamol; oral,Drug,ATC 5th,A02AB06
21600062,aluminium glycinate,Drug,ATC 5th,A02AB07
21600063,aluminium compounds - combinations,Drug,ATC 5th,A02AB10
21600064,Calcium compounds,Drug,ATC 4th,A02AC
21600066,calcium silicate; oral,Drug,ATC 5th,A02AC02
21600067,calcium compounds - combinations,Drug,ATC 5th,A02AC10
21600068,"Combinations and complexes of aluminium, calcium and magnesium compounds",Drug,ATC 4th,A02AD
21600069,ordinary salt combinations,Drug,ATC 5th,A02AD01
21600071,almagate; oral,Drug,ATC 5th,A02AD03
21600072,hydrotalcite; oral,Drug,ATC 5th,A02AD04
21600074,Antacids with antiflatulents,Drug,ATC 4th,A02AF
21600077,Antacids with antispasmodics,Drug,ATC 4th,A02AG
21600078,Antacids with sodium bicarbonate,Drug,ATC 4th,A02AH
21600079,"Antacids, other combinations",Drug,ATC 4th,A02AX
21600080,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Drug,ATC 3rd,A02B
21600081,H2-receptor antagonists,Drug,ATC 4th,A02BA
21600082,cimetidine; systemic,Drug,ATC 5th,A02BA01
21600083,ranitidine; systemic,Drug,ATC 5th,A02BA02
21600084,famotidine; systemic,Drug,ATC 5th,A02BA03
21600085,nizatidine; systemic,Drug,ATC 5th,A02BA04
21600086,niperotidine,Drug,ATC 5th,A02BA05
21600087,roxatidine; oral,Drug,ATC 5th,A02BA06
21600088,ranitidine bismuth citrate; oral,Drug,ATC 5th,A02BA07
21600089,lafutidine; oral,Drug,ATC 5th,A02BA08
21600090,"cimetidine, combinations; systemic",Drug,ATC 5th,A02BA51
21600091,"famotidine, combinations; systemic",Drug,ATC 5th,A02BA53
21600092,Prostaglandins,Drug,ATC 4th,A02BB
21600093,misoprostol; oral,Drug,ATC 5th,A02BB01
21600094,enprostil; oral,Drug,ATC 5th,A02BB02
21600095,Proton pump inhibitors,Drug,ATC 4th,A02BC
21600096,omeprazole; systemic,Drug,ATC 5th,A02BC01
21600097,pantoprazole; systemic,Drug,ATC 5th,A02BC02
21600098,lansoprazole; oral,Drug,ATC 5th,A02BC03
21600099,rabeprazole; oral,Drug,ATC 5th,A02BC04
21600100,esomeprazole; systemic,Drug,ATC 5th,A02BC05
40254795,dexlansoprazole; oral,Drug,ATC 5th,A02BC06
45893509,dexrabeprazole; oral,Drug,ATC 5th,A02BC07
715768,vonoprazan; oral,Drug,ATC 5th,A02BC08
45893506,"rabeprazole, combinations; oral",Drug,ATC 5th,A02BC54
21600101,Combinations for eradication of Helicobacter pylori,Drug,ATC 4th,A02BD
21600102,"omeprazole, amoxicillin and metronidazole; systemic",Drug,ATC 5th,A02BD01
21600103,"lansoprazole, tetracycline and metronidazole; systemic",Drug,ATC 5th,A02BD02
21600104,"lansoprazole, amoxicillin and metronidazole; systemic",Drug,ATC 5th,A02BD03
21600105,"pantoprazole, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD04
21600106,"omeprazole, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD05
21600107,"esomeprazole, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD06
21600108,"lansoprazole, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD07
40255043,"bismuth subcitrate, tetracycline and metronidazole; systemic",Drug,ATC 5th,A02BD08
45893460,"lansoprazole, clarithromycin and tinidazole; systemic",Drug,ATC 5th,A02BD09
45893273,"lansoprazole, amoxicillin and levofloxacin; systemic",Drug,ATC 5th,A02BD10
715856,"rabeprazole, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD12
715857,"rabeprazole, amoxicillin and metronidazole; systemic",Drug,ATC 5th,A02BD13
715863,"vonoprazan, amoxicillin and clarithromycin; systemic",Drug,ATC 5th,A02BD14
715864,"vonoprazan, amoxicillin and metronidazole; systemic",Drug,ATC 5th,A02BD15
21600109,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),Drug,ATC 4th,A02BX
21600110,carbenoxolone; oral,Drug,ATC 5th,A02BX01
21600111,sucralfate; oral,Drug,ATC 5th,A02BX02
21600112,pirenzepine; systemic,Drug,ATC 5th,A02BX03
21600113,methiosulfonium chloride; systemic,Drug,ATC 5th,A02BX04
21600114,bismuth subcitrate; oral,Drug,ATC 5th,A02BX05
21600115,proglumide; oral,Drug,ATC 5th,A02BX06
21600116,gefarnate; oral,Drug,ATC 5th,A02BX07
21600117,sulglicotide; oral,Drug,ATC 5th,A02BX08
21600118,acetoxolone; oral,Drug,ATC 5th,A02BX09
21600119,zolimidine,Drug,ATC 5th,A02BX10
21600120,troxipide; oral,Drug,ATC 5th,A02BX11
1502113,rebamipide; oral,Drug,ATC 5th,A02BX14
21600124,"carbenoxolone, combinations with psycholeptics; oral, oral local, topical, vaginal",Drug,ATC 5th,A02BX71
21600125,"gefarnate, combinations with psycholeptics; oral",Drug,ATC 5th,A02BX77
21600126,OTHER DRUGS FOR ACID RELATED DISORDERS,Drug,ATC 3rd,A02X
21600127,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Drug,ATC 2nd,A03
21600128,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,Drug,ATC 3rd,A03A
21600129,"Synthetic anticholinergics, esters with tertiary amino group",Drug,ATC 4th,A03AA
21600130,oxyphencyclimine; oral,Drug,ATC 5th,A03AA01
21600131,"camylofin; oral, rectal",Drug,ATC 5th,A03AA03
21600132,mebeverine; oral,Drug,ATC 5th,A03AA04
21600133,trimebutine; oral,Drug,ATC 5th,A03AA05
21600135,dicycloverine; systemic,Drug,ATC 5th,A03AA07
21600136,"dihexyverine; oral, rectal",Drug,ATC 5th,A03AA08
21600137,difemerine; systemic,Drug,ATC 5th,A03AA09
21600138,piperidolate; oral,Drug,ATC 5th,A03AA30
21600139,"Synthetic anticholinergics, quaternary ammonium compounds",Drug,ATC 4th,A03AB
21600140,benzilone; oral,Drug,ATC 5th,A03AB01
21600141,"glycopyrronium bromide; systemic, rectal",Drug,ATC 5th,A03AB02
21600142,oxyphenonium; oral,Drug,ATC 5th,A03AB03
21600143,penthienate; oral,Drug,ATC 5th,A03AB04
21600144,propantheline; systemic,Drug,ATC 5th,A03AB05
21600146,methantheline; oral,Drug,ATC 5th,A03AB07
21600147,tridihexethyl; oral,Drug,ATC 5th,A03AB08
21600148,isopropamide; oral,Drug,ATC 5th,A03AB09
21600149,hexocyclium; oral,Drug,ATC 5th,A03AB10
21600150,poldine; oral,Drug,ATC 5th,A03AB11
21600151,mepenzolate; oral,Drug,ATC 5th,A03AB12
21600152,bevonium; oral,Drug,ATC 5th,A03AB13
21600153,pipenzolate; oral,Drug,ATC 5th,A03AB14
21600154,"diphemanil; oral, topical",Drug,ATC 5th,A03AB15
21600155,(2-benzhydryloxyethyl)diethyl-methylammonium iodide; oral,Drug,ATC 5th,A03AB16
21600156,tiemonium iodide; systemic,Drug,ATC 5th,A03AB17
21600157,prifinium bromide; systemic,Drug,ATC 5th,A03AB18
21600158,timepidium bromide; systemic,Drug,ATC 5th,A03AB19
21600159,fenpiverinium; systemic,Drug,ATC 5th,A03AB21
21600161,"Synthetic antispasmodics, amides with tertiary amines",Drug,ATC 4th,A03AC
21600162,dimethylaminopropionylphenothiazine,Drug,ATC 5th,A03AC02
21600163,nicofetamide,Drug,ATC 5th,A03AC04
21600164,tiropramide; systemic,Drug,ATC 5th,A03AC05
21600165,Papaverine and derivatives,Drug,ATC 4th,A03AD
21600167,drotaverine; systemic,Drug,ATC 5th,A03AD02
21600168,moxaverine; oral,Drug,ATC 5th,A03AD30
21600169,Serotonin receptor antagonists,Drug,ATC 4th,A03AE
21600170,alosetron; oral,Drug,ATC 5th,A03AE01
21600172,cilansetron,Drug,ATC 5th,A03AE03
21600174,Other drugs for functional gastrointestinal disorders,Drug,ATC 4th,A03AX
21600175,fenpiprane,Drug,ATC 5th,A03AX01
21600176,diisopromine; oral,Drug,ATC 5th,A03AX02
21600177,chlorbenzoxamine; oral,Drug,ATC 5th,A03AX03
21600178,pinaverium; oral,Drug,ATC 5th,A03AX04
21600179,fenoverine; oral,Drug,ATC 5th,A03AX05
21600180,idanpramine,Drug,ATC 5th,A03AX06
21600181,proxazole,Drug,ATC 5th,A03AX07
21600182,"alverine; oral, rectal",Drug,ATC 5th,A03AX08
21600183,trepibutone; oral,Drug,ATC 5th,A03AX09
21600185,caroverine; systemic,Drug,ATC 5th,A03AX11
21600186,phloroglucinol; systemic,Drug,ATC 5th,A03AX12
21600187,silicones; oral,Drug,ATC 5th,A03AX13
45893475,valethamate; systemic,Drug,ATC 5th,A03AX14
21600188,trimethyldiphenylpropylamine; systemic,Drug,ATC 5th,A03AX30
21600190,"BELLADONNA AND DERIVATIVES, PLAIN",Drug,ATC 3rd,A03B
21600191,"Belladonna alkaloids, tertiary amines",Drug,ATC 4th,A03BA
21600192,atropine; systemic,Drug,ATC 5th,A03BA01
21600193,hyoscyamine; oral,Drug,ATC 5th,A03BA03
21600194,belladonna total alkaloids; oral,Drug,ATC 5th,A03BA04
21600195,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",Drug,ATC 4th,A03BB
21600196,"butylscopolamine; systemic, rectal",Drug,ATC 5th,A03BB01
21600197,methylatropine; oral,Drug,ATC 5th,A03BB02
21600198,methylscopolamine; systemic,Drug,ATC 5th,A03BB03
21600199,fentonium; oral,Drug,ATC 5th,A03BB04
21600200,cimetropium bromide,Drug,ATC 5th,A03BB05
715871,homatropine methylbromide; systemic,Drug,ATC 5th,A03BB06
21600201,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,Drug,ATC 3rd,A03C
21600202,Synthetic anticholinergic agents in combination with psycholeptics,Drug,ATC 4th,A03CA
21600203,isopropamide and psycholeptics; oral,Drug,ATC 5th,A03CA01
21600204,clidinium and psycholeptics; oral,Drug,ATC 5th,A03CA02
21600205,oxyphencyclimine and psycholeptics; oral,Drug,ATC 5th,A03CA03
21600206,otilonium bromide and psycholeptics; oral,Drug,ATC 5th,A03CA04
21600207,glycopyrronium bromide and psycholeptics; systemic,Drug,ATC 5th,A03CA05
21600208,bevonium and psycholeptics,Drug,ATC 5th,A03CA06
21600209,ambutonium and psycholeptics; oral,Drug,ATC 5th,A03CA07
21600210,"diphemanil and psycholeptics; oral, topical",Drug,ATC 5th,A03CA08
45893505,pipenzolate and psycholeptics; oral,Drug,ATC 5th,A03CA09
21600211,emepronium and psycholeptics; oral,Drug,ATC 5th,A03CA30
21600213,Belladonna and derivatives in combination with psycholeptics,Drug,ATC 4th,A03CB
21600215,belladonna total alkaloids and psycholeptics; systemic,Drug,ATC 5th,A03CB02
21600216,atropine and psycholeptics; systemic,Drug,ATC 5th,A03CB03
21600217,homatropine methylbromide and psycholeptics; systemic,Drug,ATC 5th,A03CB04
21600219,Other antispasmodics in combination with psycholeptics,Drug,ATC 4th,A03CC
21600220,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,Drug,ATC 3rd,A03D
21600221,Synthetic anticholinergic agents in combination with analgesics,Drug,ATC 4th,A03DA
21600222,tropenzilone and analgesics,Drug,ATC 5th,A03DA01
21600223,pitofenone and analgesics; systemic,Drug,ATC 5th,A03DA02
21600224,bevonium and analgesics,Drug,ATC 5th,A03DA03
21600225,ciclonium and analgesics; systemic,Drug,ATC 5th,A03DA04
21600226,camylofin and analgesics; systemic,Drug,ATC 5th,A03DA05
21600227,trospium and analgesics; systemic,Drug,ATC 5th,A03DA06
21600228,tiemonium iodide and analgesics; oral,Drug,ATC 5th,A03DA07
21600229,Belladonna and derivatives in combination with analgesics,Drug,ATC 4th,A03DB
21600230,butylscopolamine and analgesics; systemic,Drug,ATC 5th,A03DB04
21600231,Other antispasmodics in combination with analgesics,Drug,ATC 4th,A03DC
21600232,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,Drug,ATC 3rd,A03E
21600480,"Antispasmodics, psycholeptics and analgesics in combination",Drug,ATC 4th,A03EA
21600481,Antispasmodics in combination with other drugs,Drug,ATC 4th,A03ED
21600482,PROPULSIVES,Drug,ATC 3rd,A03F
21600483,Propulsives,Drug,ATC 4th,A03FA
21600484,"metoclopramide; systemic, rectal",Drug,ATC 5th,A03FA01
21600485,"cisapride; oral, rectal",Drug,ATC 5th,A03FA02
21600486,"domperidone; systemic, rectal",Drug,ATC 5th,A03FA03
21600487,bromopride; systemic,Drug,ATC 5th,A03FA04
21600488,alizapride; systemic,Drug,ATC 5th,A03FA05
21600489,clebopride; systemic,Drug,ATC 5th,A03FA06
45893516,itopride; oral,Drug,ATC 5th,A03FA07
1123814,cinitapride; oral,Drug,ATC 5th,A03FA08
715759,mosapride; oral,Drug,ATC 5th,A03FA09
21600490,ANTIEMETICS AND ANTINAUSEANTS,Drug,ATC 2nd,A04
21600491,ANTIEMETICS AND ANTINAUSEANTS,Drug,ATC 3rd,A04A
21600492,Serotonin (5HT3) antagonists,Drug,ATC 4th,A04AA
21600493,"ondansetron; systemic, rectal",Drug,ATC 5th,A04AA01
21600494,"granisetron; systemic, transdermal",Drug,ATC 5th,A04AA02
21600495,tropisetron; systemic,Drug,ATC 5th,A04AA03
21600496,dolasetron; systemic,Drug,ATC 5th,A04AA04
21600497,palonosetron; systemic,Drug,ATC 5th,A04AA05
45893275,"palonosetron, combinations; systemic",Drug,ATC 5th,A04AA55
21600498,Other antiemetics,Drug,ATC 4th,A04AD
21600500,cerium oxalate; oral,Drug,ATC 5th,A04AD02
21600502,metopimazine; systemic,Drug,ATC 5th,A04AD05
21600504,nabilone; oral,Drug,ATC 5th,A04AD11
21600505,aprepitant; systemic,Drug,ATC 5th,A04AD12
21600506,casopitant,Drug,ATC 5th,A04AD13
1123827,rolapitant; oral,Drug,ATC 5th,A04AD14
21600507,"scopolamine, combinations; systemic",Drug,ATC 5th,A04AD51
21600509,BILE AND LIVER THERAPY,Drug,ATC 2nd,A05
21600510,BILE THERAPY,Drug,ATC 3rd,A05A
21600511,Bile acids and derivatives,Drug,ATC 4th,A05AA
21600512,chenodeoxycholic acid; oral,Drug,ATC 5th,A05AA01
21600513,ursodeoxycholic acid; oral,Drug,ATC 5th,A05AA02
21600514,cholic acid; oral,Drug,ATC 5th,A05AA03
1588639,obeticholic acid; oral,Drug,ATC 5th,A05AA04
21600515,Preparations for biliary tract therapy,Drug,ATC 4th,A05AB
21600516,nicotinyl methylamide; systemic,Drug,ATC 5th,A05AB01
21600517,Other drugs for bile therapy,Drug,ATC 4th,A05AX
21600518,piprozolin; oral,Drug,ATC 5th,A05AX01
21600520,cyclobutyrol; oral,Drug,ATC 5th,A05AX03
21600521,"LIVER THERAPY, LIPOTROPICS",Drug,ATC 3rd,A05B
21600522,Liver therapy,Drug,ATC 4th,A05BA
21600523,arginine glutamate; systemic,Drug,ATC 5th,A05BA01
21600525,citiolone; oral,Drug,ATC 5th,A05BA04
21600526,epomediol; oral,Drug,ATC 5th,A05BA05
21600530,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,Drug,ATC 3rd,A05C
21600531,DRUGS FOR CONSTIPATION,Drug,ATC 2nd,A06
21600532,DRUGS FOR CONSTIPATION,Drug,ATC 3rd,A06A
21600533,"Softeners, emollients",Drug,ATC 4th,A06AA
21600534,liquid paraffin; oral,Drug,ATC 5th,A06AA01
21600535,docusate sodium; oral,Drug,ATC 5th,A06AA02
21600536,"liquid paraffin, combinations; topical",Drug,ATC 5th,A06AA51
21600537,Contact laxatives,Drug,ATC 4th,A06AB
21600538,oxyphenisatine; oral,Drug,ATC 5th,A06AB01
21600539,"bisacodyl; oral, rectal",Drug,ATC 5th,A06AB02
21600540,dantron; oral,Drug,ATC 5th,A06AB03
21600541,phenolphthalein; oral,Drug,ATC 5th,A06AB04
21600542,castor oil; oral,Drug,ATC 5th,A06AB05
21600544,cascara; systemic,Drug,ATC 5th,A06AB07
21600545,sodium picosulfate; oral,Drug,ATC 5th,A06AB08
21600546,bisoxatin; oral,Drug,ATC 5th,A06AB09
21600548,contact laxatives in combination with belladonna alkaloids,Drug,ATC 5th,A06AB30
21600549,"bisacodyl, combinations; oral, rectal",Drug,ATC 5th,A06AB52
21600550,"dantron, combinations; oral",Drug,ATC 5th,A06AB53
21600551,"senna glycosides, combinations; systemic",Drug,ATC 5th,A06AB56
21600553,"sodium picosulfate, combinations; oral, topical",Drug,ATC 5th,A06AB58
21600554,Bulk-forming laxatives,Drug,ATC 4th,A06AC
21600555,ispaghula (psylla seeds); oral,Drug,ATC 5th,A06AC01
21600556,ethulose; oral,Drug,ATC 5th,A06AC02
21600557,sterculia; oral,Drug,ATC 5th,A06AC03
21600558,"linseed; oral, topical",Drug,ATC 5th,A06AC05
21600559,methylcellulose; oral,Drug,ATC 5th,A06AC06
21600560,triticum (wheat fibre); oral,Drug,ATC 5th,A06AC07
21600561,polycarbophil calcium; oral,Drug,ATC 5th,A06AC08
21600565,Osmotically acting laxatives,Drug,ATC 4th,A06AD
21600566,magnesium carbonate; oral,Drug,ATC 5th,A06AD01
21600567,magnesium oxide; oral,Drug,ATC 5th,A06AD02
21600568,magnesium peroxide; oral,Drug,ATC 5th,A06AD03
21600569,magnesium sulfate; oral,Drug,ATC 5th,A06AD04
21600570,mineral salts in combination; oral,Drug,ATC 5th,A06AD10
21600571,lactulose; oral,Drug,ATC 5th,A06AD11
21600572,lactitol; oral,Drug,ATC 5th,A06AD12
21600573,sodium sulfate; oral,Drug,ATC 5th,A06AD13
21600574,pentaerithrityl; oral,Drug,ATC 5th,A06AD14
21600575,macrogol; oral,Drug,ATC 5th,A06AD15
21600576,mannitol; oral,Drug,ATC 5th,A06AD16
21600578,sorbitol; oral,Drug,ATC 5th,A06AD18
21600580,sodium tartrate; oral,Drug,ATC 5th,A06AD21
21600581,"lactulose, combinations; oral",Drug,ATC 5th,A06AD61
21600582,"macrogol, combinations; oral",Drug,ATC 5th,A06AD65
21600583,Enemas,Drug,ATC 4th,A06AG
21600584,sodium phosphate; rectal,Drug,ATC 5th,A06AG01
21600585,bisacodyl; rectal,Drug,ATC 5th,A06AG02
21600586,"dantron, incl. combinations; rectal",Drug,ATC 5th,A06AG03
21600587,glycerol; rectal,Drug,ATC 5th,A06AG04
21600588,oil; rectal,Drug,ATC 5th,A06AG06
21600589,sorbitol; rectal,Drug,ATC 5th,A06AG07
21600590,"docusate sodium, incl. combinations; rectal",Drug,ATC 5th,A06AG10
21600591,"sodium lauryl sulfoacetate, incl. combinations; rectal",Drug,ATC 5th,A06AG11
21600593,Peripheral opioid receptor antagonists,Drug,ATC 4th,A06AH
21600594,methylnaltrexone bromide; parenteral,Drug,ATC 5th,A06AH01
21600595,alvimopan; systemic,Drug,ATC 5th,A06AH02
43534741,naloxegol; oral,Drug,ATC 5th,A06AH03
715886,naldemedine; oral,Drug,ATC 5th,A06AH05
21600596,Other drugs for constipation,Drug,ATC 4th,A06AX
21600597,"glycerol; oral, rectal",Drug,ATC 5th,A06AX01
21600599,lubiprostone; oral,Drug,ATC 5th,A06AX03
43534742,linaclotide; oral,Drug,ATC 5th,A06AX04
1501757,plecanatide; oral,Drug,ATC 5th,A06AX07
21600600,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",Drug,ATC 2nd,A07
21600601,INTESTINAL ANTIINFECTIVES,Drug,ATC 3rd,A07A
21600602,Antibiotics,Drug,ATC 4th,A07AA
21600604,nystatin; oral,Drug,ATC 5th,A07AA02
21600606,streptomycin; oral,Drug,ATC 5th,A07AA04
21600607,polymyxin B; oral,Drug,ATC 5th,A07AA05
21600608,paromomycin; oral,Drug,ATC 5th,A07AA06
21600610,kanamycin; oral,Drug,ATC 5th,A07AA08
21600611,vancomycin; oral,Drug,ATC 5th,A07AA09
21600612,colistin; oral,Drug,ATC 5th,A07AA10
21600613,rifaximin; oral,Drug,ATC 5th,A07AA11
43534745,fidaxomicin; oral,Drug,ATC 5th,A07AA12
715872,rifamycin; systemic,Drug,ATC 5th,A07AA13
21600614,"neomycin, combinations; oral",Drug,ATC 5th,A07AA51
21600615,"streptomycin, combinations; oral",Drug,ATC 5th,A07AA54
21600616,Sulfonamides,Drug,ATC 4th,A07AB
21600617,phthalylsulfathiazole; oral,Drug,ATC 5th,A07AB02
21600618,sulfaguanidine; oral,Drug,ATC 5th,A07AB03
21600619,succinylsulfathiazole; oral,Drug,ATC 5th,A07AB04
21600620,Imidazole derivatives,Drug,ATC 4th,A07AC
21600622,Other intestinal antiinfectives,Drug,ATC 4th,A07AX
21600624,acetarsol; oral,Drug,ATC 5th,A07AX02
21600625,nifuroxazide; oral,Drug,ATC 5th,A07AX03
21600626,nifurzide; oral,Drug,ATC 5th,A07AX04
21600627,INTESTINAL ADSORBENTS,Drug,ATC 3rd,A07B
21600628,Charcoal preparations,Drug,ATC 4th,A07BA
21600629,medicinal charcoal; oral,Drug,ATC 5th,A07BA01
21600630,"medicinal charcoal, combinations; oral",Drug,ATC 5th,A07BA51
21600631,Bismuth preparations,Drug,ATC 4th,A07BB
21600632,Other intestinal adsorbents,Drug,ATC 4th,A07BC
21600633,pectin; oral,Drug,ATC 5th,A07BC01
21600634,kaolin; oral,Drug,ATC 5th,A07BC02
21600635,crospovidone; oral,Drug,ATC 5th,A07BC03
21600636,attapulgite; oral,Drug,ATC 5th,A07BC04
21600637,diosmectite; oral,Drug,ATC 5th,A07BC05
21600639,"attapulgite, combinations; oral",Drug,ATC 5th,A07BC54
21600640,ELECTROLYTES WITH CARBOHYDRATES,Drug,ATC 3rd,A07C
21600641,Oral rehydration salt formulations,Drug,ATC 4th,A07CA
21600642,ANTIPROPULSIVES,Drug,ATC 3rd,A07D
21600643,Antipropulsives,Drug,ATC 4th,A07DA
21600644,diphenoxylate; oral,Drug,ATC 5th,A07DA01
21600645,opium; oral,Drug,ATC 5th,A07DA02
21600646,loperamide; oral,Drug,ATC 5th,A07DA03
21600647,difenoxin; oral,Drug,ATC 5th,A07DA04
21600648,loperamide oxide; oral,Drug,ATC 5th,A07DA05
1123892,eluxadoline; oral,Drug,ATC 5th,A07DA06
21600649,"morphine, combinations; oral",Drug,ATC 5th,A07DA52
21600650,"loperamide, combinations; oral",Drug,ATC 5th,A07DA53
21600651,INTESTINAL ANTIINFLAMMATORY AGENTS,Drug,ATC 3rd,A07E
21600652,Corticosteroids acting locally,Drug,ATC 4th,A07EA
21600654,hydrocortisone; rectal,Drug,ATC 5th,A07EA02
21600656,betamethasone; rectal,Drug,ATC 5th,A07EA04
21600658,"budesonide; oral, local oral",Drug,ATC 5th,A07EA06
21600659,beclometasone; rectal,Drug,ATC 5th,A07EA07
21600660,"Antiallergic agents, excl. corticosteroids",Drug,ATC 4th,A07EB
21600661,cromoglicic acid; oral,Drug,ATC 5th,A07EB01
21600662,Aminosalicylic acid and similar agents,Drug,ATC 4th,A07EC
21600663,"sulfasalazine; oral, rectal",Drug,ATC 5th,A07EC01
21600664,"mesalazine; oral, rectal",Drug,ATC 5th,A07EC02
21600665,olsalazine; oral,Drug,ATC 5th,A07EC03
21600666,balsalazide; oral,Drug,ATC 5th,A07EC04
21600667,ANTIDIARRHEAL MICROORGANISMS,Drug,ATC 3rd,A07F
21600668,Antidiarrheal microorganisms,Drug,ATC 4th,A07FA
21600669,lactic acid producing organisms; oral,Drug,ATC 5th,A07FA01
21600670,saccharomyces boulardii; oral,Drug,ATC 5th,A07FA02
21600671,"lactic acid producing organisms, combinations; oral",Drug,ATC 5th,A07FA51
21600672,OTHER ANTIDIARRHEALS,Drug,ATC 3rd,A07X
21600673,Other antidiarrheals,Drug,ATC 4th,A07XA
21600674,albumin tannate; oral,Drug,ATC 5th,A07XA01
21600675,ceratonia; oral,Drug,ATC 5th,A07XA02
21600676,calcium compounds; oral,Drug,ATC 5th,A07XA03
21600677,racecadotril; oral,Drug,ATC 5th,A07XA04
715761,crofelemer; oral,Drug,ATC 5th,A07XA06
21600678,"albumin tannate, combinations; oral",Drug,ATC 5th,A07XA51
21600679,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Drug,ATC 2nd,A08
21600680,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Drug,ATC 3rd,A08A
21600681,Centrally acting antiobesity products,Drug,ATC 4th,A08AA
21600682,phentermine; oral,Drug,ATC 5th,A08AA01
21600684,amfepramone; oral,Drug,ATC 5th,A08AA03
21600685,dexfenfluramine; oral,Drug,ATC 5th,A08AA04
21600686,mazindol; oral,Drug,ATC 5th,A08AA05
21600687,etilamfetamine,Drug,ATC 5th,A08AA06
21600688,cathine; oral,Drug,ATC 5th,A08AA07
21600689,clobenzorex; oral,Drug,ATC 5th,A08AA08
